City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
210,Porto Novo,6.5,2.6,78.8,83,40,9.17,BJ,2020-08-22 14:22:05,scattered clouds
211,Haines Junction,60.75,-137.51,51.67,86,100,1.68,CA,2020-08-22 14:22:05,light rain
212,Kushima,31.46,131.23,77.86,86,1,4.68,JP,2020-08-22 14:22:05,clear sky
213,Chunoyar,57.45,97.32,61.92,84,100,4.83,RU,2020-08-22 14:22:05,light rain
214,Lunenburg,44.38,-64.32,69.01,83,95,1.01,CA,2020-08-22 14:20:12,overcast clouds
215,Omsukchan,62.53,155.8,34.16,91,100,5.7,RU,2020-08-22 14:22:05,overcast clouds
216,Juba,4.85,31.58,87.87,56,47,2.75,SS,2020-08-22 14:22:05,scattered clouds
217,Taoudenni,22.68,-3.98,118.47,6,0,17.07,ML,2020-08-22 14:22:05,clear sky
218,Natal,-5.79,-35.21,84.2,54,20,16.11,BR,2020-08-22 14:17:18,few clouds
219,Simnicu De Sus,44.38,23.8,93.99,35,0,5.82,RO,2020-08-22 14:22:06,clear sky
220,Norman Wells,65.28,-126.83,51.8,81,75,6.93,CA,2020-08-22 14:22:06,broken clouds
221,Aquiraz,-3.9,-38.39,84.2,62,75,13.87,BR,2020-08-22 14:22:06,broken clouds
222,Tasiilaq,65.61,-37.64,51.8,62,20,9.17,GL,2020-08-22 14:22:06,few clouds
223,Sokolovo-Kundryuchenskiy,47.84,39.95,75.2,33,20,15.66,RU,2020-08-22 14:22:06,few clouds
224,Kirakira,-10.45,161.92,79.12,84,43,10.67,SB,2020-08-22 14:22:06,light rain
225,Necochea,-38.55,-58.74,59.0,37,0,11.01,AR,2020-08-22 14:20:09,clear sky
226,Quang Ngai,15.12,108.8,80.1,82,65,1.19,VN,2020-08-22 14:22:07,light rain
227,Marsh Harbour,26.54,-77.06,84.0,77,82,16.4,BS,2020-08-22 14:22:07,broken clouds
228,Bolshoy Lug,52.08,104.09,57.2,100,82,2.24,RU,2020-08-22 14:22:07,broken clouds
229,East London,-33.02,27.91,71.6,46,0,8.05,ZA,2020-08-22 14:17:43,clear sky
230,Toamasina,-18.17,49.38,69.8,94,75,9.17,MG,2020-08-22 14:22:07,shower rain
231,Mar Del Plata,-38.0,-57.56,55.0,51,0,12.75,AR,2020-08-22 14:22:07,clear sky
232,Ciudad Real,39.0,-4.0,93.0,29,0,1.99,ES,2020-08-22 14:22:07,clear sky
233,Saint-Augustin,51.23,-58.65,63.1,64,96,6.64,CA,2020-08-22 14:22:07,overcast clouds
234,Te Anau,-45.42,167.72,40.5,89,100,0.38,NZ,2020-08-22 14:17:44,overcast clouds
