City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Padang,ID,79.95,moderate rain,-0.95,100.35,Mercure Padang
362,Ibaiti,BR,55.99,clear sky,-23.85,-50.19,Hotel Moraes
363,Belonia,IN,76.78,overcast clouds,23.25,91.45,Suryasen Hostel (BKI)
364,Sisimiut,GL,51.17,few clouds,66.94,-53.67,Hotel Sisimiut
367,Tomatlan,MX,78.37,clear sky,19.93,-105.25,Norma franco
369,Ishigaki,JP,83.46,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
371,Mitchell,US,73.4,clear sky,43.71,-98.03,Kelly Inn & Suites
372,Broome,US,75.0,clear sky,42.25,-75.83,Chenango Valley State Park
373,Iquitos,PE,62.6,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
374,Havoysund,NO,68.0,scattered clouds,71.0,24.66,Arctic View Glamping & Restaurant
375,Caravelas,BR,71.15,light rain,-17.71,-39.25,Pousada dos Navegantes
376,Izumo,JP,80.6,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
377,Cabo San Lucas,MX,80.01,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
379,Darhan,MN,61.39,clear sky,49.49,105.92,Buudai Hotel
380,Shirgaon,IN,81.84,light rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
381,Constitucion,CL,58.59,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
383,Berezovyy,RU,60.48,light rain,51.67,135.7,"Hotel ""Phoenix"""
384,Tahoua,NE,87.8,broken clouds,14.89,5.27,Bungalows Guesthouse
385,Inca,ES,87.8,few clouds,39.72,2.91,Cas Comte Suites & Spa
386,Kavaratti,IN,83.23,few clouds,10.57,72.64,Bismillah Hotel And Lodging
387,Partenit,UA,75.85,few clouds,44.58,34.34,Приватотель
388,Richards Bay,ZA,76.32,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
389,Saldanha,ZA,68.0,clear sky,-33.01,17.94,Blue Bay Lodge
390,Isangel,VU,73.83,clear sky,-19.55,169.27,Volcano Sea View Tree House
394,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
395,Lagoa,PT,71.37,clear sky,39.05,-27.98,Casa Das Faias
397,Kuytun,RU,56.3,scattered clouds,54.34,101.5,Gostinitsa Tsentral'naya
398,Kavieng,PG,81.84,light rain,-2.57,150.8,Nusa Island Retreat
399,Kpandae,GH,82.8,moderate rain,8.47,-0.01,S. Amaski Guest House
400,Bonthe,SL,80.55,moderate rain,7.53,-12.51,Bonthe Holiday Village
401,Takoradi,GH,80.49,few clouds,4.88,-1.76,Raybow International Hotel
403,Mora,CM,89.6,scattered clouds,11.05,14.14,Hotel Emergence
404,Rongcheng,CN,79.2,overcast clouds,30.63,117.85,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
405,Karwar,IN,79.12,light rain,14.8,74.13,Netalco Connects
406,Boyolangu,ID,74.98,overcast clouds,-8.12,111.89,Yos ega cv
408,Sambava,MG,74.52,scattered clouds,-14.27,50.17,Melrose
409,Itaituba,BR,86.0,clear sky,-4.28,-55.98,Hotel Campos
410,Wajir,KE,89.6,broken clouds,1.75,40.06,Al- Amin lodge
411,Yabelo,ET,70.93,overcast clouds,4.88,38.08,Asnakech W/michael
412,Vanavara,RU,60.82,clear sky,60.34,102.28,Russia
413,Toktogul,KG,73.31,clear sky,41.87,72.94,KAGAN
414,Birkeland,NO,62.6,light intensity shower rain,58.33,8.23,Hawai bobilcamping
416,Prince Rupert,CA,57.2,light rain,54.32,-130.32,Crest Hotel
417,Pokhara,NP,72.16,light rain,28.23,83.98,Hotel View Point
418,Karaton,ID,80.6,few clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
419,Pontes E Lacerda,BR,57.15,overcast clouds,-15.23,-59.34,Hotel Bressan
421,Manado,ID,80.6,few clouds,1.49,124.85,Aryaduta Hotel
422,Olafsvik,IS,52.52,clear sky,64.89,-23.71,Hotel Olafsvik
423,San Felipe,VE,81.9,few clouds,10.34,-68.74,Posada Llovizna Rodríguez
424,Jumla,NP,62.89,light rain,29.27,82.18,Hotel Sundar Rara Karnali
426,Brae,GB,55.4,broken clouds,60.4,-1.35,Busta House Hotel
427,Liwale,TZ,81.64,overcast clouds,-9.77,37.93,Samoma Lodge
428,Medvedovskaya,RU,81.0,scattered clouds,45.45,39.03,Gostinnitsa
429,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
430,Never,FR,77.0,overcast clouds,46.99,3.16,Hôtel Kyriad
431,Lehigh Acres,US,79.0,clear sky,26.63,-81.62,Lehigh Resort Club
432,Megion,RU,57.2,scattered clouds,61.03,76.11,Komfort Hotel
434,Chuy,UY,54.07,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
435,Long,TH,75.36,moderate rain,18.08,99.83,Nopphakoe Homestay
438,Russell,US,78.8,broken clouds,32.35,-85.2,Macs
439,Ambon,ID,77.0,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
441,Lake Charles,US,82.99,clear sky,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
442,Muros,ES,71.01,broken clouds,42.78,-9.06,Apartment Av. Castelao
